objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237657190369002274,SINGLE,"[(24, 22)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(96, 91)(39, 9)]"
1237657190369002280,SINGLE,"[(27, 41)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190369002281,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(67, 81)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190369002441,NO_PEAK,"[]",SINGLE,"[(67, 22)]",SINGLE,"[(67, 22)]",SINGLE,"[(67, 22)]",NO_PEAK,"[]"
1237657190369002495,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(23, 29)]",SINGLE,"[(22, 28)]",DOUBLE,"[(22, 29)(49, 51)]"
1237657190369002611,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(38, 67)(44, 12)]"
1237657190369067189,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190369067244,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190369067349,SINGLE,"[(26, 28)]",SINGLE,"[(50, 50)]",SINGLE,"[(34, 48)]",SINGLE,"[(35, 49)]",DOUBLE,"[(50, 50)(34, 49)]"
1237657190369067405,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(49, 50)(62, 55)]"
1237657190369067407,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190369067562,SINGLE,"[(36, 78)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(55, 30)]",DOUBLE,"[(55, 30)(85, 28)]"
1237657190369067588,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(51, 50)]",NO_PEAK,"[]",DOUBLE,"[(66, 2)(58, 71)]"
1237657190369067678,SINGLE,"[(87, 8)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(52, 20)(73, 44)]"
1237657190369067711,SINGLE,"[(3, 42)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(86, 4)(47, 93)]"
1237657190369067714,SINGLE,"[(27, 37)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190370705521,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(21, 5)]"
1237657190370705573,NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",SINGLE,"[(24, 1)]",NO_PEAK,"[]"
1237657190370705680,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(20, 47)]",SINGLE,"[(29, 16)]",DOUBLE,"[(55, 44)(19, 13)]"
1237657190370705821,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(70, 88)(36, 97)]"
1237657190370705997,SINGLE,"[(91, 79)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(74, 42)(47, 6)]"
1237657190370706064,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(30, 79)(69, 99)]"
1237657190370706068,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(82, 64)(96, 5)]"
1237657190370706127,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(35, 19)]",SINGLE,"[(35, 8)]",NO_PEAK,"[]"
1237657190370706175,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(8, 74)(90, 74)]"
1237657190370706235,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 29)]",DOUBLE,"[(50, 30)(72, 95)]"
1237657190370706377,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(41, 86)(9, 85)]"
1237657190370706414,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190370706440,SINGLE,"[(8, 37)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(43, 12)(56, 16)]"
1237657190370706615,SINGLE,"[(94, 84)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(64, 8)(51, 66)]"
1237657190370770995,NO_PEAK,"[]",SINGLE,"[(56, 31)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190370770996,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(94, 64)(95, 58)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190370771079,NO_PEAK,"[]",SINGLE,"[(53, 45)]",SINGLE,"[(53, 45)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190370771107,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(69, 99)(79, 6)]"
1237657190370771112,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190371885948,SINGLE,"[(41, 4)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(71, 93)(49, 4)]"
1237657190370771261,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(26, 99)(47, 8)]"
1237657190370771302,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(8, 14)]",SINGLE,"[(8, 14)]",NO_PEAK,"[]"
1237657190370771388,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(26, 29)]",NO_PEAK,"[]"
1237657190370771446,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(53, 72)(52, 48)]"
1237657190370771547,NO_PEAK,"[]",SINGLE,"[(45, 7)]",SINGLE,"[(45, 7)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190370771694,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(6, 38)]",SINGLE,"[(6, 38)]",NO_PEAK,"[]"
1237657190370771727,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(49, 49)(84, 63)]"
1237657190370771883,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(99, 70)(30, 59)]"
1237657190370771926,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(85, 75)(43, 92)]"
1237657190370771942,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(49, 16)]",SINGLE,"[(47, 17)]",DOUBLE,"[(56, 27)(32, 59)]"
