objID,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237663716556014714,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(1, 95)(11, 1)]"
1237663275781652929,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(56, 66)(10, 79)]"
1237663239278821932,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(18, 61)]",NO_PEAK,"[]"
1237663239278821837,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(84, 16)]"
1237663238740116376,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(97, 46)(42, 45)]"
1237660241388569518,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(69, 95)(42, 47)]"
1237660241388569502,SINGLE,"[(20, 23)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237660241387783194,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(79, 65)(23, 48)]"
1237660024523981807,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(18, 43)(24, 11)]"
1237660024523260539,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(25, 26)]",DOUBLE,"[(73, 44)(60, 38)]"
1237660024521687709,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(44, 61)(84, 75)]"
1237660024521359994,SINGLE,"[(16, 99)]",NO_PEAK,"[]",SINGLE,"[(33, 45)]",NO_PEAK,"[]",DOUBLE,"[(51, 50)(33, 46)]"
1237660024521098166,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(28, 97)(12, 55)]"
1237660024521097874,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(36, 83)]"
1237657587096552433,SINGLE,"[(82, 98)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(1, 47)]",NO_PEAK,"[]"
1237657587096487142,SINGLE,"[(83, 75)]",NO_PEAK,"[]",SINGLE,"[(28, 32)]",NO_PEAK,"[]",DOUBLE,"[(11, 17)(41, 58)]"
1237657192520024306,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(4, 59)(48, 52)]"
1237657192519959296,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(14, 57)]"
1237657192518189907,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(27, 47)(34, 86)]"
1237657191979549098,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657191979483558,SINGLE,"[(86, 4)]",NO_PEAK,"[]",SINGLE,"[(25, 23)]",SINGLE,"[(24, 24)]",DOUBLE,"[(24, 24)(36, 35)]"
1237657191447003592,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(29, 65)]",SINGLE,"[(28, 65)]",DOUBLE,"[(28, 65)(50, 49)]"
1237657191446152352,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(26, 25)]",SINGLE,"[(25, 25)]",DOUBLE,"[(4, 77)(94, 98)]"
1237657191446086079,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(76, 11)(49, 51)]"
1237657190910853462,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(5, 94)(50, 50)]"
1237657190910591100,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
