objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237663784209744964,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663784209745075,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663784209745107,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(68, 58)(46, 76)]"
1237663784209745110,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(36, 33)]",DOUBLE,"[(8, 66)(1, 58)]"
1237663784209745113,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(32, 89)(64, 30)]"
1237663784209745244,SINGLE,"[(37, 63)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(4, 30)(12, 23)]"
1237663784209809483,SINGLE,"[(30, 47)]",SINGLE,"[(30, 45)]",SINGLE,"[(28, 46)]",SINGLE,"[(30, 45)]",NO_PEAK,"[]"
1237663784209809655,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237663784209809661,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(37, 63)(50, 50)]"
1237663784209809683,SINGLE,"[(15, 12)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(41, 65)(32, 96)]"
1237663784209809987,SINGLE,"[(99, 93)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(40, 58)(34, 39)]"
1237663784209809993,NO_PEAK,"[]",SINGLE,"[(17, 60)]",NO_PEAK,"[]",SINGLE,"[(4, 14)]",NO_PEAK,"[]"
1237663784208761057,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(44, 37)]",DOUBLE,"[(74, 45)(9, 69)]"
1237663784208761094,SINGLE,"[(55, 38)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(38, 13)]",DOUBLE,"[(55, 37)(39, 14)]"
1237663784209810044,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663784209810067,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(38, 74)]",NO_PEAK,"[]",DOUBLE,"[(38, 75)(99, 66)]"
1237663784209810076,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(27, 64)(82, 25)]"
1237663784209810097,SINGLE,"[(73, 65)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(74, 65)(78, 98)]"
1237663784209810114,SINGLE,"[(82, 78)]",NO_PEAK,"[]",SINGLE,"[(46, 25)]",SINGLE,"[(47, 25)]",DOUBLE,"[(49, 50)(89, 49)]"
1237663784209810185,SINGLE,"[(5, 99)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 98)(87, 35)]"
1237663784209810236,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(3, 23)(86, 25)]"
1237663784209810350,SINGLE,"[(35, 12)]",NO_PEAK,"[]",SINGLE,"[(42, 35)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(41, 35)]"
1237663784209810478,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(38, 99)(50, 48)]"
1237663784209810675,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(28, 23)]",DOUBLE,"[(60, 93)(82, 68)]"
1237663784209810700,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(80, 16)(87, 87)]"
1237663784209810718,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(91, 32)(58, 24)]"
1237663784209810820,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(29, 61)]",DOUBLE,"[(54, 99)(6, 67)]"
1237663784209810834,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(52, 80)(87, 50)]"
