objid,ra,dec
1237663783667106149,14.99329991,-0.4196425642
1237663783667106161,14.99806335,-0.2162004335
1237663783669137987,19.65402803,-0.4007602726
1237663783668024414,17.09515967,-0.2710890113
1237663783668024429,17.11097001,-0.2169739946
1237663783667106198,15.01447998,-0.2655784949
1237663783667106227,15.02926209,-0.2194156019
1237663783668024517,17.21248923,-0.2256516511
1237663783668024570,17.11006399,-0.2305408378
1237663783668024581,17.13006806,-0.3567623947
1237663783668089038,17.26148107,-0.2302200393
1237663783668089110,17.27891267,-0.2840308528
1237663783668089411,17.27776248,-0.3770427612
1237663783668089417,17.2783631,-0.248274512
1237663783668089428,17.2806123,-0.37735332
1237663783668089431,17.28242237,-0.3837012773
1237663783668089480,17.29688588,-0.4178316841
1237663783668089504,17.3034095,-0.4011241639
1237663783668089554,17.314558,-0.3339389288
1237663783668089604,17.32563296,-0.4029739192
1237663783666058103,12.61999296,-0.2527303733
1237663783666058108,12.62442415,-0.3980578257
1237663783666058131,12.64657765,-0.4070512218
1237663783666058172,12.66811261,-0.2278940781
1237663783666058183,12.67136,-0.3086614186
1237663783666058204,12.68309208,-0.4031390746
1237663783668089864,17.26490543,-0.2658965977
1237663783669203840,19.77625023,-0.276363245
1237663783668089917,17.29602093,-0.3202959503
1237663783668089921,17.29769716,-0.3580461293
1237663783668089938,17.31934464,-0.383271673
1237663783668090178,17.34293496,-0.4197844729
1237663783668090185,17.28827656,-0.2589537174
1237663783668090192,17.26902965,-0.2255142108
1237663783668090194,17.28118092,-0.2701303976
1237663783668090200,17.32892566,-0.2693183732
1237663783668154447,17.37578547,-0.3098209674
1237663783668154487,17.44023084,-0.2975872727
1237663783668154522,17.36977947,-0.2677364037
1237663783668154549,17.43685057,-0.2131433954
1237663783668154594,17.37310183,-0.289148201
1237663783668154752,17.37406232,-0.2830798985
1237663783668154766,17.3784303,-0.3739505548
1237663783668154814,17.39333233,-0.2204177063
1237663783668154830,17.39828835,-0.3498514597
1237663783668154834,17.40025691,-0.2740556859
1237663783668154885,17.41284081,-0.3691404294
1237663783668154909,17.41943703,-0.3640417391
1237663783668154959,17.43003146,-0.4114789689
1237663783668155036,17.45194785,-0.3834613393
1237663783668155083,17.46597993,-0.2428275213
1237663783668155091,17.46919872,-0.3494719315
1237663783668155121,17.4787537,-0.2507679104
1237663783667172115,15.24439844,-0.3793590566
1237663783667172139,15.25122355,-0.3443513155
1237663783667172268,15.14247097,-0.3077209202
1237663783667172281,15.14961393,-0.3320036214
1237663783667172376,15.23098827,-0.388730628
1237663783667172401,15.24970996,-0.3315979402
1237663783667172502,15.16757709,-0.2694312806
1237663783668155281,17.38928078,-0.3934570277
1237663783668155360,17.45318674,-0.3910401927
1237663783668155384,17.46672808,-0.3054638616
1237663783668155385,17.46644272,-0.3043306297
1237663783668155519,17.44591797,-0.2191646647
1237663783668155529,17.44993076,-0.2808536387
1237663783668220653,17.61023011,-0.257482834
1237663783668220654,17.61129701,-0.3008399132
1237663783668220665,17.61449088,-0.2561724295
1237663783668220683,17.6185141,-0.3035387797
1237663783668220712,17.62659683,-0.2600273854
1237663783668220714,17.62769396,-0.2664768063
1237663783668220752,17.63744787,-0.2384708939
1237663783668220939,17.55527934,-0.3249615625
1237663783668220965,17.57685243,-0.3551432335
1237663783668220969,17.57925474,-0.4158376279
1237663783668220995,17.5999907,-0.3695791935
1237663783668221052,17.63351349,-0.3948496023
1237663783668221065,17.64395399,-0.4052788439
1237663783668221134,17.56155277,-0.3765082006
1237663783668221143,17.57235624,-0.387124281
1237663783668221161,17.58870395,-0.2320112855
1237663783668221203,17.6345514,-0.4124290595
1237663783667237752,15.37888157,-0.2379492034
1237663783667237788,15.38690445,-0.4095730487
1237663783667237918,15.26860389,-0.4161220982
1237663783667238005,15.32518619,-0.2161847989
1237663783667238075,15.38134528,-0.2223045616
1237663783667238117,15.40669873,-0.4057790775
1237663783667238171,15.29443367,-0.3530781195
1237663783667238175,15.30101873,-0.3916087614
1237663783667238186,15.31177009,-0.3214242614
1237663783667238225,15.35788262,-0.2220363358
1237663783667238226,15.36270266,-0.3134370481
1237663783667238282,15.31734086,-0.3854511702
1237663783668285997,17.73401872,-0.4069319374
1237663783668286029,17.741059,-0.2419737066
1237663783668286049,17.75220341,-0.3935670977
1237663783668286186,17.79302923,-0.3780458239
1237663783668286188,17.79259001,-0.3083892245
1237663783668286193,17.79387243,-0.3187028902
1237663783668286201,17.7948813,-0.4078241648
1237663783668286202,17.79537968,-0.2448806769
1237663783668286360,17.71315705,-0.3685706591
1237663783668286364,17.72036256,-0.2865077751
1237663783668286372,17.72186385,-0.2485635174
1237663783668286413,17.74790802,-0.2482863734
1237663783668286416,17.74899814,-0.3683606766
1237663783668286523,17.66919946,-0.3225806924
1237663783668286609,17.79034807,-0.2892924646
1237663783668286666,17.67448634,-0.224462786
1237663783668351039,17.89209854,-0.2958502037
1237663783668351079,17.94002474,-0.3536170449
1237663783667303381,15.49030606,-0.2900784288
1237663783667303481,15.55293141,-0.3476161665
1237663783668351373,17.81730857,-0.3436628448
1237663783668351378,17.81857667,-0.401462524
1237663783668351379,17.81876847,-0.405860064
1237663783668351393,17.82177182,-0.2554347696
1237663783668351419,17.83064551,-0.2522413383
1237663783668351455,17.83826637,-0.3424720472
1237663783668351507,17.84271504,-0.2989905783
1237663783668351511,17.84504405,-0.3979512795
1237663783667368963,15.66059462,-0.4012057501
1237663783667369029,15.70008124,-0.3438647232
1237663783667369253,15.64937602,-0.340359362
1237663783668351538,17.85442781,-0.3706136311
1237663783668351650,17.88160917,-0.2722908299
1237663783668351811,17.9277198,-0.3469180587
1237663783668351858,17.94717846,-0.3412621315
1237663783668351880,17.95799613,-0.3318388205
1237663783668351983,17.85198544,-0.3182222365
1237663783668351994,17.85887752,-0.2175823734
1237663783668352006,17.87070313,-0.2665487838
1237663783668352009,17.8731593,-0.355514326
1237663783668352090,17.9443534,-0.3983034224
1237663783668352180,17.89802801,-0.3136805005
1237663783668416609,18.03429895,-0.4104195102
1237663783668416765,18.11200898,-0.3616657571
1237663783668416794,17.96632303,-0.3621809502
1237663783667434606,15.72401775,-0.2198118615
1237663783667434622,15.7325001,-0.3508331444
1237663783668417256,18.05681708,-0.3283329563
1237663783668417295,18.07006225,-0.2464539744
1237663783668417358,18.09174212,-0.3133959551
1237663783667434713,15.77337323,-0.2837909307
1237663783667434733,15.78375284,-0.3235074847
1237663783667434738,15.78785795,-0.253795036
1237663783668417502,18.00492824,-0.4027561731
1237663783668417531,18.0240895,-0.3360749048
1237663783668417574,18.06430607,-0.2846367065
1237663783668417676,17.99050436,-0.3729517281
1237663783668417716,18.0523696,-0.2423356202
1237663783668417744,18.09059577,-0.3559711015
1237663783668417793,18.08484607,-0.3669343104
1237663783668482086,18.13301166,-0.2388971595
1237663783668482216,18.23662758,-0.3394826998
1237663783668482218,18.23309192,-0.3495466052
1237663783668482238,18.24091687,-0.2418575825
1237663783668482271,18.25670573,-0.2437029973
1237663783668483053,18.23292837,-0.2708504803
1237663783668483140,18.17296076,-0.2352049018
1237663783668483144,18.17665923,-0.2489680594
1237663783668483232,18.13199417,-0.3789300721
1237663783668483236,18.17025514,-0.3505655018
1237663783668547610,18.29442031,-0.2188981606
1237663783668547713,18.34068926,-0.3878002573
1237663783668547934,18.29926809,-0.2961442156
1237663783668547973,18.31363388,-0.3062949579
1237663783668547974,18.31404751,-0.2156246884
1237663783667500016,15.98610536,-0.3863877715
1237663783667500017,15.98615326,-0.384029763
1237663783667500055,16.0108992,-0.2201692862
1237663783667500056,16.01083721,-0.266486131
1237663783668548030,18.33686992,-0.2788671721
1237663783668548105,18.36537228,-0.3795403543
1237663783668548107,18.36578882,-0.3600040731
1237663783668548138,18.37496713,-0.342292
1237663783668548150,18.37842325,-0.3782618491
1237663783668548216,18.39866325,-0.2784635349
1237663783668548427,18.26856672,-0.2605943698
1237663783668548477,18.33702373,-0.2668762609
1237663783668548494,18.36244247,-0.3358849565
1237663783668548543,18.36509808,-0.243160717
1237663783668613166,18.54403399,-0.4027021183
1237663783668613261,18.55989071,-0.249653055
1237663783667565701,16.11984601,-0.2489919076
1237663783667565916,16.14684928,-0.2906490833
1237663783667630169,16.18285797,-0.3426545094
1237663783667630183,16.19578898,-0.3172043864
1237663783668613399,18.41586511,-0.2650588584
1237663783668613402,18.41705359,-0.3788073588
1237663783668613433,18.43030424,-0.3566398441
1237663783668613492,18.45031992,-0.3013627361
1237663783668613534,18.47044264,-0.2507394119
1237663783668613585,18.49192037,-0.2156709498
1237663783668613728,18.54070335,-0.386794707
1237663783668613762,18.55235871,-0.3905403937
1237663783668613832,18.42973842,-0.3372570071
1237663783668613913,18.50444673,-0.4138012579
1237663783667631284,16.21059913,-0.3822575037
1237663783667631320,16.25559484,-0.3582298845
1237663783667631364,16.31450466,-0.2664258728
1237663783667695815,16.37272948,-0.3444055722
1237663783667695826,16.38396681,-0.3705291228
1237663783667695841,16.41053545,-0.2592841356
1237663783668613942,18.52976288,-0.3409704173
1237663783668613970,18.55115294,-0.3608679228
1237663783668614034,18.43861576,-0.3964999373
1237663783668614070,18.49024099,-0.2278073091
1237663783667695944,16.42568279,-0.3211545419
1237663783668679142,18.62117942,-0.3242678468
1237663783667695992,16.31630165,-0.2868904081
1237663783668679147,18.62307298,-0.41817869
1237663783668679167,18.63205777,-0.2650785798
1237663783668679206,18.65236306,-0.3993662355
1237663783668679211,18.65499909,-0.3860153764
1237663783667696096,16.35133678,-0.3706897386
1237663783668679261,18.67578605,-0.2748945654
1237663783668679305,18.69245545,-0.368212848
1237663783668679467,18.65660921,-0.3827679073
1237663783668679604,18.66765131,-0.3922737156
1237663783668679615,18.68239616,-0.3464646591
1237663783668679643,18.7056656,-0.4095731809
1237663783668679709,18.64027166,-0.2742363912
1237663783668679712,18.67686041,-0.3104108207
1237663783668744540,18.713499,-0.2424717145
1237663783668744904,18.84046297,-0.2448815749
1237663783668744918,18.84706549,-0.3596472291
1237663783668745040,18.76813991,-0.2957147756
1237663783668745233,18.74920197,-0.2318916012
1237663783668745266,18.79200964,-0.2507072788
1237663783668810020,18.96739637,-0.3626066572
1237663783668810105,18.88308989,-0.3486400023
1237663783668810176,18.90831769,-0.3339860734
1237663783667696866,16.45189477,-0.3535862743
1237663783667696882,16.46388291,-0.3375870093
1237663783667696908,16.31701461,-0.3042595365
1237663783667696974,16.40203442,-0.2416991925
1237663783667697023,16.34196314,-0.2918277088
1237663783668810244,18.9308546,-0.222175165
1237663783668810377,18.97976119,-0.3316960212
1237663783668810612,18.98672302,-0.2781007655
1237663783668810697,18.89650719,-0.2364097959
1237663783668875369,19.1313034,-0.2898658214
1237663783668875384,19.12598316,-0.287326777
1237663783668875522,19.14372714,-0.3857181684
1237663783668875554,19.10437018,-0.2382978671
1237663783668875647,19.11007809,-0.2132307156
1237663783668875732,19.01785189,-0.3216642902
1237663783668875791,19.03868406,-0.4092438562
1237663783668875800,19.041839,-0.3843375136
1237663783668875848,19.05450342,-0.3052041092
1237663783668875878,19.06505853,-0.3090641212
1237663783668875988,19.10002681,-0.2792440826
1237663783668876110,19.14169173,-0.24202184
1237663783667762376,16.58877361,-0.3817928207
1237663783667762474,16.52235057,-0.2518199924
1237663783667826713,16.70148306,-0.2520900459
1237663783667826751,16.61791716,-0.2835892247
1237663783667827078,16.61758372,-0.239111988
1237663783668876139,19.15347935,-0.2600205186
1237663783668876205,19.01776826,-0.3514110541
1237663783668876354,19.02979364,-0.2141168018
1237663783668876356,19.03317329,-0.3649804924
1237663783668876377,19.07474913,-0.4055898661
1237663783668876396,19.10844232,-0.2441655765
1237663783668876401,19.12114748,-0.3929864232
1237663783668876460,19.06028998,-0.3716749256
1237663783668940909,19.17395153,-0.4067961108
1237663783668941067,19.18484435,-0.4118655643
1237663783668941079,19.18592847,-0.4038579657
1237663783667827911,16.68755681,-0.4024781793
1237663783668941084,19.18864393,-0.4153626677
1237663783667828079,16.62242705,-0.2313009624
1237663783668941141,19.27947802,-0.3729279997
1237663783668941183,19.16390102,-0.3544360302
1237663783668941247,19.18617084,-0.211887248
1237663783668941396,19.23116038,-0.2829354004
1237663783668941441,19.24481689,-0.3115281553
1237663783670121579,21.89486004,-0.3611087444
1237663783668941471,19.25442393,-0.4036315288
1237663783668941482,19.25704272,-0.3053512618
1237663783668941649,19.30704093,-0.3707893884
1237663783668941811,19.2677114,-0.3953470162
1237663783668941874,19.17144123,-0.2277382482
1237663783667893367,16.80287251,-0.2969028068
1237663783667893412,16.83620918,-0.22847026
1237663783669006984,19.38514461,-0.2478516998
1237663783669007062,19.41036661,-0.3740518181
1237663783669007071,19.41602059,-0.3017334255
1237663783669007259,19.32833544,-0.3764137913
1237663783669007279,19.35924836,-0.365499379
1237663783669007294,19.37738731,-0.2202193553
1237663783669007309,19.3909993,-0.2706646447
1237663783669007490,19.43752218,-0.3245309433
1237663783669007583,19.40869298,-0.3279623822
1237663783669072773,19.55279581,-0.3296648445
1237663783669072836,19.60697845,-0.4193280521
1237663783669072880,19.47990504,-0.3669179591
1237663783667958749,16.94213434,-0.3390926421
1237663783667958810,16.98097753,-0.2747103713
1237663783667958844,17.00762664,-0.2517856297
1237663783667958866,17.0227295,-0.319069333
1237663783667958899,17.04391749,-0.384826366
1237663783667958988,16.93087743,-0.3148355944
1237663783667959013,16.94761965,-0.2141275357
1237663783667959084,17.02576721,-0.2633947635
1237663783667959140,16.97017563,-0.3439215228
1237663783667959153,16.91898829,-0.3288676207
1237663783668023351,17.13578068,-0.2406628244
