objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237656906355114319,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(39, 59)(24, 99)]"
1237657071695495951,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(56, 12)]",NO_PEAK,"[]",DOUBLE,"[(56, 12)(31, 75)]"
1237657189840585535,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(61, 6)]",SINGLE,"[(61, 5)]",NO_PEAK,"[]"
1237657190369919003,SINGLE,"[(80, 57)]",NO_PEAK,"[]",DOUBLE,"[(79, 52)(79, 63)]",DOUBLE,"[(82, 52)(80, 62)]",NO_PEAK,"[]"
1237657190906658887,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190908232266,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 51)]",NO_PEAK,"[]"
1237657191445561733,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(24, 91)(48, 83)]"
1237657587097273432,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(73, 45)(50, 50)]"
1237660024523588132,NO_PEAK,"[]",SINGLE,"[(71, 12)]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(70, 11)(14, 93)]"
1237660240313188577,NO_PEAK,"[]",SINGLE,"[(50, 49)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(34, 85)]"
1237660241386602625,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(1, 29)]",SINGLE,"[(1, 28)]",DOUBLE,"[(1, 29)(73, 5)]"
1237660241923080370,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(12, 15)]"
1237663275780342714,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663275781325242,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(96, 12)(27, 50)]"
1237663277928874834,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
