objid,pid1,photoZ1,photoZ_err1,schlegelZ1,schlegelZ_err1,absMagR1,u1,g1,r1,i1,z1,pid2,photoZ2,photoZ_err2,schlegelZ2,schlegelZ_err2,absMagR2,u2,g2,r2,i2,z2
1237645943978918279,1237645943978918278,0.198462,0.031261,null,null,-21.4251,23.45948,21.61354,20.32081,19.1873,18.52612,1237645943978918279,0.613518,0.049292,null,null,-23.3555,23.45948,21.61354,20.32081,19.1873,18.52612
1237645943979245908,1237645943979245909,0.202876,0.021678,null,null,-21.4892,24.17385,21.95901,20.03627,19.33846,18.95427,1237645943979245909,0.202876,0.021678,null,null,-21.4892,24.17385,21.95901,20.03627,19.33846,18.95427
1237657069549846700,1237657069549846699,0.040197,0.011664,null,null,-19.7234,25.16875,22.90935,21.04538,20.07445,19.53565,1237657069549846699,0.040197,0.011664,null,null,-19.7234,25.16875,22.90935,21.04538,20.07445,19.53565
1237657584949526633,1237657584949526631,0.049016,0.011369,null,null,-20.6967,24.49355,21.76758,20.28,19.75155,19.34569,1237657584949526632,0.271745,0.132288,null,null,-19.6509,24.49355,21.76758,20.28,19.75155,19.34569
1237657584950247782,1237657584950182683,0.55834,0.1681,null,null,-20.4438,25.82001,21.9376,20.57297,20.08726,19.79462,1237657584950182683,0.55834,0.1681,null,null,-20.4438,25.82001,21.9376,20.57297,20.08726,19.79462
1237663239278363253,1237663239278363253,0.847444,0.04073,null,null,-23.6205,24.12168,25.67319,21.819,20.35608,19.75496,1237663239278363253,0.847444,0.04073,null,null,-23.6205,24.12168,25.67319,21.819,20.35608,19.75496
1237657584950182455,1237657584950182852,0.369071,0.049386,null,null,-21.1239,24.59436,23.97328,24.09751,21.10922,22.13542,1237657584950182852,0.369071,0.049386,null,null,-21.1239,24.59436,23.97328,24.09751,21.10922,22.13542
1237657584950182449,1237657584950182448,0.252381,0.081284,null,null,-19.4364,23.90457,22.03653,21.20234,20.93523,20.96272,1237657584950182448,0.252381,0.081284,null,null,-19.4364,23.90457,22.03653,21.20234,20.93523,20.96272
1237657584950182247,1237657584950182247,0.211562,0.026206,null,null,-21.2549,20.52751,19.57782,18.82091,18.397,18.13198,1237657584950182247,0.211562,0.026206,null,null,-21.2549,20.52751,19.57782,18.82091,18.397,18.13198
1237657584950771906,1237657584950771905,0.326736,0.02177,null,null,-22.5628,22.24753,20.2998,18.98489,18.45617,18.25097,1237657584950771906,0.252642,0.038317,null,null,-21.6507,22.24753,20.2998,18.98489,18.45617,18.25097
