objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237645943979180299,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(58, 58)(50, 50)]",NO_PEAK,"[]"
1237656971301028036,DOUBLE,"[(34, 29)(39, 25)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(99, 91)(49, 41)]"
1237656971301945767,DOUBLE,"[(15, 37)(5, 41)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(16, 43)]",DOUBLE,"[(74, 19)(96, 35)]"
1237657069548863851,NO_PEAK,"[]",DOUBLE,"[(49, 50)(43, 49)]",SINGLE,"[(44, 48)]",NO_PEAK,"[]",DOUBLE,"[(48, 48)(93, 36)]"
1237657069549257199,NO_PEAK,"[]",SINGLE,"[(11, 38)]",SINGLE,"[(11, 38)]",DOUBLE,"[(11, 38)(20, 46)]",NO_PEAK,"[]"
1237657069549912474,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(51, 51)]",DOUBLE,"[(57, 41)(50, 50)]",NO_PEAK,"[]"
1237657070088356088,NO_PEAK,"[]",DOUBLE,"[(50, 50)(53, 45)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(51, 51)(21, 73)]"
1237657070088552812,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 51)]",DOUBLE,"[(50, 50)(50, 63)]",DOUBLE,"[(50, 50)(28, 73)]"
1237657070090453050,DOUBLE,"[(25, 23)(20, 26)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(25, 23)]",DOUBLE,"[(25, 24)(50, 50)]"
1237657070090912006,NO_PEAK,"[]",SINGLE,"[(22, 36)]",SINGLE,"[(22, 36)]",DOUBLE,"[(21, 36)(13, 37)]",DOUBLE,"[(22, 36)(50, 50)]"
1237657070620311897,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(58, 1)(52, 1)]",DOUBLE,"[(52, 1)(58, 1)]",DOUBLE,"[(3, 76)(27, 86)]"
1237657070620573889,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(73, 44)]",DOUBLE,"[(50, 50)(72, 45)]",NO_PEAK,"[]"
1237657070628503739,NO_PEAK,"[]",DOUBLE,"[(39, 59)(50, 51)]",DOUBLE,"[(39, 59)(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(39, 59)(31, 31)]"
1237657071157641854,DOUBLE,"[(31, 23)(41, 32)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 49)(89, 46)]"
1237657071158755470,NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(32, 61)]",DOUBLE,"[(50, 50)(32, 61)]"
1237657071159214328,SINGLE,"[(31, 47)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(31, 19)(78, 46)]"
1237657071159279735,NO_PEAK,"[]",SINGLE,"[(35, 61)]",SINGLE,"[(36, 61)]",DOUBLE,"[(35, 61)(50, 50)]",NO_PEAK,"[]"
1237657071162426245,DOUBLE,"[(30, 25)(41, 24)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 51)(69, 27)]"
1237657071693791313,SINGLE,"[(37, 25)]",SINGLE,"[(36, 26)]",SINGLE,"[(36, 26)]",DOUBLE,"[(36, 26)(44, 42)]",NO_PEAK,"[]"
1237657071696806065,NO_PEAK,"[]",SINGLE,"[(43, 45)]",SINGLE,"[(43, 45)]",DOUBLE,"[(43, 45)(50, 49)]",DOUBLE,"[(43, 46)(50, 50)]"
1237657071697264915,SINGLE,"[(50, 52)]",SINGLE,"[(47, 51)]",DOUBLE,"[(50, 50)(44, 52)]",NO_PEAK,"[]",DOUBLE,"[(44, 51)(57, 15)]"
1237657071697854722,NO_PEAK,"[]",SINGLE,"[(15, 12)]",DOUBLE,"[(15, 12)(10, 11)]",DOUBLE,"[(15, 12)(10, 10)]",DOUBLE,"[(35, 23)(10, 11)]"
1237657189836521792,DOUBLE,"[(50, 50)(55, 52)]",SINGLE,"[(56, 52)]",SINGLE,"[(56, 52)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190370967824,NO_PEAK,"[]",DOUBLE,"[(49, 50)(35, 47)]",DOUBLE,"[(45, 50)(34, 47)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657190905545093,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(7, 26)]",DOUBLE,"[(8, 25)(12, 18)]",DOUBLE,"[(50, 50)(8, 25)]"
1237657190905938027,NO_PEAK,"[]",DOUBLE,"[(51, 39)(50, 50)]",DOUBLE,"[(51, 39)(50, 50)]",DOUBLE,"[(51, 39)(50, 50)]",NO_PEAK,"[]"
1237657190908297363,NO_PEAK,"[]",DOUBLE,"[(64, 42)(53, 44)]",DOUBLE,"[(53, 44)(63, 42)]",DOUBLE,"[(63, 41)(53, 43)]",NO_PEAK,"[]"
1237657190908953258,NO_PEAK,"[]",DOUBLE,"[(48, 45)(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(49, 49)(47, 44)]",DOUBLE,"[(50, 50)(99, 11)]"
1237657190909411652,NO_PEAK,"[]",SINGLE,"[(49, 44)]",DOUBLE,"[(50, 50)(50, 44)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(52, 55)]"
1237657191444972204,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(55, 52)]",DOUBLE,"[(50, 50)(56, 52)]",DOUBLE,"[(51, 50)(56, 51)]"
1237657191445299447,NO_PEAK,"[]",DOUBLE,"[(36, 1)(41, 16)]",DOUBLE,"[(37, 1)(41, 15)]",DOUBLE,"[(38, 1)(41, 15)]",DOUBLE,"[(38, 1)(35, 6)]"
1237657584950182247,DOUBLE,"[(50, 52)(46, 47)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",SINGLE,"[(14, 18)]",DOUBLE,"[(50, 49)(61, 66)]"
1237657584950182449,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(38, 36)]",DOUBLE,"[(34, 26)(37, 36)]",DOUBLE,"[(31, 3)(74, 53)]"
1237657584950182455,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(11, 32)(14, 42)]",DOUBLE,"[(8, 9)(51, 59)]"
1237657587098190038,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(44, 56)(50, 50)]",DOUBLE,"[(44, 56)(50, 51)]",NO_PEAK,"[]"
1237660024522080591,SINGLE,"[(37, 42)]",DOUBLE,"[(37, 42)(49, 44)]",DOUBLE,"[(47, 44)(50, 51)]",DOUBLE,"[(44, 42)(50, 50)]",DOUBLE,"[(42, 42)(48, 43)]"
1237660241923080340,NO_PEAK,"[]",DOUBLE,"[(68, 65)(83, 75)]",DOUBLE,"[(69, 65)(83, 75)]",DOUBLE,"[(69, 65)(50, 51)]",NO_PEAK,"[]"
1237660241924391067,NO_PEAK,"[]",DOUBLE,"[(50, 50)(64, 47)]",DOUBLE,"[(51, 50)(64, 47)]",DOUBLE,"[(51, 49)(64, 46)]",NO_PEAK,"[]"
1237663204921508105,NO_PEAK,"[]",DOUBLE,"[(51, 48)(47, 53)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(51, 50)(63, 1)]"
1237663204922884300,NO_PEAK,"[]",DOUBLE,"[(50, 50)(52, 56)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 49)(45, 64)]"
1237663237129830668,NO_PEAK,"[]",DOUBLE,"[(43, 54)(50, 51)]",DOUBLE,"[(44, 54)(50, 50)]",DOUBLE,"[(44, 55)(50, 51)]",DOUBLE,"[(44, 54)(13, 95)]"
1237663237667881233,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(53, 36)]",DOUBLE,"[(50, 50)(52, 36)]",NO_PEAK,"[]"
1237663238741950610,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(40, 35)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(38, 30)]"
1237663275781390641,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 49)(54, 49)]",NO_PEAK,"[]",DOUBLE,"[(52, 49)(31, 38)]"
1237663277928415463,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(32, 56)(41, 57)]",NO_PEAK,"[]"
1237663278464958785,SINGLE,"[(50, 50)]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(17, 37)(11, 28)]",DOUBLE,"[(16, 37)(28, 49)]"
1237663278465614311,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(46, 49)(51, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 49)(57, 55)]"
1237663278465024332,NO_PEAK,"[]",SINGLE,"[(55, 42)]",DOUBLE,"[(55, 42)(50, 49)]",DOUBLE,"[(56, 42)(50, 50)]",NO_PEAK,"[]"
1237663278465876454,DOUBLE,"[(24, 32)(24, 27)]",NO_PEAK,"[]",SINGLE,"[(24, 30)]",SINGLE,"[(24, 30)]",DOUBLE,"[(41, 5)(81, 6)]"
1237663278464763178,DOUBLE,"[(6, 13)(12, 28)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(93, 89)]",DOUBLE,"[(52, 24)(47, 48)]"
1237663277929988198,NO_PEAK,"[]",DOUBLE,"[(50, 50)(50, 44)]",DOUBLE,"[(51, 44)(51, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663277929792494,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(54, 8)(44, 1)]",DOUBLE,"[(77, 26)(45, 1)]"
1237663543696359967,SINGLE,"[(23, 16)]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(55, 52)]",DOUBLE,"[(32, 99)(66, 16)]"
1237663277928219240,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(73, 82)(75, 78)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663277392461953,NO_PEAK,"[]",DOUBLE,"[(50, 50)(58, 49)]",DOUBLE,"[(51, 50)(59, 49)]",NO_PEAK,"[]",DOUBLE,"[(60, 51)(53, 49)]"
1237663277392330903,NO_PEAK,"[]",SINGLE,"[(50, 49)]",DOUBLE,"[(51, 49)(63, 35)]",NO_PEAK,"[]",DOUBLE,"[(63, 36)(51, 50)]"
1237663275781587151,NO_PEAK,"[]",DOUBLE,"[(55, 52)(50, 50)]",DOUBLE,"[(56, 52)(51, 50)]",NO_PEAK,"[]",DOUBLE,"[(56, 53)(18, 84)]"
1237663275781456345,NO_PEAK,"[]",SINGLE,"[(46, 6)]",SINGLE,"[(47, 6)]",DOUBLE,"[(47, 6)(56, 4)]",NO_PEAK,"[]"
1237663275781390832,NO_PEAK,"[]",SINGLE,"[(50, 51)]",DOUBLE,"[(50, 50)(49, 56)]",NO_PEAK,"[]",DOUBLE,"[(48, 56)(50, 50)]"
1237663275781063670,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(19, 9)]",DOUBLE,"[(54, 99)(38, 32)]"
1237663275780932490,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 46)(49, 51)]",NO_PEAK,"[]",DOUBLE,"[(88, 27)(32, 10)]"
1237663275780866661,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(43, 1)(37, 2)]",DOUBLE,"[(42, 1)(99, 29)]"
1237663275780473600,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(16, 35)(11, 33)]",DOUBLE,"[(50, 51)(16, 37)]"
1237663239279149756,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(40, 20)(37, 14)]",DOUBLE,"[(40, 19)(93, 26)]"
1237663239278428744,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(54, 49)(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(52, 30)(75, 50)]"
1237663239278363253,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 51)(50, 55)]",SINGLE,"[(50, 50)]",DOUBLE,"[(91, 99)(87, 75)]"
1237663239278363203,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(55, 43)]",DOUBLE,"[(55, 43)(50, 50)]",NO_PEAK,"[]"
1237663239278167236,SINGLE,"[(2, 82)]",NO_PEAK,"[]",DOUBLE,"[(32, 1)(27, 1)]",SINGLE,"[(20, 18)]",DOUBLE,"[(96, 46)(52, 46)]"
1237663239278101231,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(57, 43)]",DOUBLE,"[(50, 51)(56, 43)]"
1237663239277708106,SINGLE,"[(95, 88)]",SINGLE,"[(31, 55)]",SINGLE,"[(31, 55)]",DOUBLE,"[(50, 50)(43, 49)]",NO_PEAK,"[]"
1237663239272923583,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(51, 50)(43, 50)]",NO_PEAK,"[]",DOUBLE,"[(51, 50)(42, 46)]"
1237663239272333495,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(63, 46)]",NO_PEAK,"[]"
1237663238741295662,DOUBLE,"[(26, 29)(21, 36)]",NO_PEAK,"[]",SINGLE,"[(27, 28)]",SINGLE,"[(26, 29)]",NO_PEAK,"[]"
1237663238741230496,NO_PEAK,"[]",DOUBLE,"[(37, 10)(31, 9)]",DOUBLE,"[(31, 9)(37, 10)]",DOUBLE,"[(37, 10)(31, 9)]",NO_PEAK,"[]"
1237663238741164168,NO_PEAK,"[]",SINGLE,"[(45, 61)]",SINGLE,"[(44, 60)]",DOUBLE,"[(44, 60)(50, 50)]",NO_PEAK,"[]"
1237663238741099477,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(23, 32)]",DOUBLE,"[(21, 25)(24, 31)]",DOUBLE,"[(19, 94)(63, 64)]"
1237663238740902376,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(42, 41)(48, 50)]",DOUBLE,"[(50, 50)(44, 41)]"
1237663238740836987,SINGLE,"[(15, 24)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(15, 24)]",DOUBLE,"[(15, 24)(32, 63)]"
1237663238740640205,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(41, 53)(50, 50)]",DOUBLE,"[(41, 53)(49, 51)]",DOUBLE,"[(50, 50)(42, 53)]"
1237663238740246703,NO_PEAK,"[]",DOUBLE,"[(50, 50)(60, 48)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237663238740050376,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(24, 55)(30, 46)]",DOUBLE,"[(25, 81)(24, 56)]"
1237663238739985466,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(31, 74)(30, 68)]",DOUBLE,"[(76, 23)(31, 69)]"
