objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237656971300897277,SINGLE,"[(29, 32)]",NO_PEAK,"[]",DOUBLE,"[(29, 13)(25, 8)]",DOUBLE,"[(29, 13)(25, 8)]",DOUBLE,"[(30, 13)(98, 35)]"
1237656971301487637,DOUBLE,"[(37, 33)(21, 32)]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(10, 31)(28, 30)]",DOUBLE,"[(10, 31)(28, 29)]"
1237656971301945655,SINGLE,"[(24, 24)]",DOUBLE,"[(45, 55)(50, 50)]",DOUBLE,"[(50, 50)(44, 54)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(45, 54)]"
1237657070088618225,DOUBLE,"[(48, 19)(16, 23)]",NO_PEAK,"[]",DOUBLE,"[(21, 22)(27, 26)]",DOUBLE,"[(26, 24)(19, 18)]",DOUBLE,"[(71, 51)(75, 64)]"
1237657070089011212,DOUBLE,"[(28, 37)(27, 31)]",NO_PEAK,"[]",DOUBLE,"[(36, 35)(4, 1)]",DOUBLE,"[(9, 6)(15, 12)]",DOUBLE,"[(89, 99)(87, 37)]"
1237657070089339075,DOUBLE,"[(29, 31)(25, 24)]",DOUBLE,"[(29, 31)(26, 23)]",SINGLE,"[(28, 31)]",DOUBLE,"[(11, 28)(29, 32)]",DOUBLE,"[(11, 28)(28, 31)]"
1237657070090780869,NO_PEAK,"[]",DOUBLE,"[(43, 53)(50, 50)]",DOUBLE,"[(44, 52)(50, 50)]",DOUBLE,"[(44, 53)(50, 50)]",NO_PEAK,"[]"
1237657070619787372,NO_PEAK,"[]",DOUBLE,"[(50, 50)(48, 27)]",DOUBLE,"[(50, 50)(58, 3)]",DOUBLE,"[(50, 50)(59, 1)]",NO_PEAK,"[]"
1237657070620311897,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(58, 1)(52, 1)]",DOUBLE,"[(52, 1)(58, 1)]",DOUBLE,"[(3, 76)(27, 86)]"
1237657070620573889,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(73, 44)]",DOUBLE,"[(50, 50)(72, 45)]",NO_PEAK,"[]"
1237657070628503739,NO_PEAK,"[]",DOUBLE,"[(39, 59)(50, 51)]",DOUBLE,"[(39, 59)(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(39, 59)(31, 31)]"
1237657071157510854,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(45, 49)]",DOUBLE,"[(50, 50)(46, 50)]",DOUBLE,"[(46, 49)(12, 34)]"
1237657071158231329,SINGLE,"[(90, 19)]",NO_PEAK,"[]",DOUBLE,"[(55, 50)(50, 50)]",DOUBLE,"[(55, 50)(50, 50)]",DOUBLE,"[(10, 57)(19, 20)]"
1237657071158886644,NO_PEAK,"[]",SINGLE,"[(47, 56)]",DOUBLE,"[(46, 56)(50, 50)]",DOUBLE,"[(46, 56)(50, 50)]",DOUBLE,"[(46, 57)(85, 33)]"
1237657071697526861,NO_PEAK,"[]",SINGLE,"[(58, 32)]",DOUBLE,"[(58, 32)(51, 49)]",DOUBLE,"[(58, 32)(51, 49)]",NO_PEAK,"[]"
1237657071697854722,NO_PEAK,"[]",SINGLE,"[(15, 12)]",DOUBLE,"[(15, 12)(10, 11)]",DOUBLE,"[(15, 12)(10, 10)]",DOUBLE,"[(35, 23)(10, 11)]"
1237657071698641867,NO_PEAK,"[]",SINGLE,"[(18, 73)]",DOUBLE,"[(18, 73)(9, 73)]",DOUBLE,"[(18, 73)(9, 73)]",NO_PEAK,"[]"
