objid,bands
1237657070620311897,ri
1237657070620573889,ri
1237657070628503739,gr
1237657071697854722,ri
1237657190370967824,gr
1237657190905938027,gri
1237657190908297363,gri
1237657191444972204,ri
1237657191445299447,gri
1237657587098190038,ri
1237660024522080591,gri
1237660241923080340,gri
1237660241924391067,gri
1237663237129830668,gri
1237663237667881233,ri
1237663238741230496,gri
1237663238740640205,ri
1237663237129699507,ugri
1237663237128388742,ugri
1237663237127864856,gri
1237663204921376920,ri
1237663204918689951,gri
1237660241386733629,ri
1237660240312991820,gri
1237660239778088005,ri
1237660239778087263,ri
1237660239777300685,gri
1237660024524440180,ui
1237660024521294122,gri
1237657587096355408,ri
1237657586029166709,gri
1237663783138230489,gr
1237657584951427367,ri
1237657192517075136,ugri
1237657192516812905,ri
1237657192516747779,ri
1237657192516157942,ri
1237657191979811010,ri
1237657191979155711,ri
1237657191444644038,ur
1237663783664287902,gri
1237657191444054069,ugri
1237657190909280922,ri
1237657190908756121,gri
1237657190907314793,gri
1237657190371426900,ui
1237663783672611350,ri
1237663783672807601,ugri
1237657190369591514,ri
1237657071698641867,ri
1237657071697526861,ri
1237657071158886644,ri
1237657071158231329,ri
1237657071157510854,ri
1237657070619787372,gri
1237657070090780869,gri
1237657070089339075,ugi
1237657070089011212,uri
1237657070088618225,uri
1237656971301945655,gr
1237656971301487637,ui
1237656971300897277,ri
1237663784744321247,ugri
1237663716018225622,ri
1237663716554899840,ri
1237663782589432005,gr
1237663782592839938,ri
1237663782595068008,gri
1237663782596313226,ri
1237663782597099538,ri
1237663237124194551,ri
1237663237123145815,gri
1237663782602997871,ugri
1237663782602997923,gri
1237660241387520325,ri
1237663783126368504,ri
1237666301629235386,gr
1237663783131545798,gri
1237663783132397774,ri
1237663783135150579,ri
1237663783135674421,gri
1237663783137378466,gri
1237663783137443959,gri
1237663783141180044,ri
1237666339189358894,ri
1237663783142752422,ri
1237663783143080351,ri
1237663783663763764,ug
1237663783665664170,ri
1237663783666712589,ri
1237663783667237216,ri
1237663783667630183,gri
1237663783667630960,ri
1237666407381860686,ri
1237663783671235125,ri
1237663783671825049,ri
1237663783673200756,gr
1237663783673200758,gr
1237663783673463033,ug
1237663783674118553,ri
1237663783674577141,gri
1237663783675166891,ri
1237663783678771238,gri
1237663783678836990,ri
1237663784201814382,gri
1237663784201879682,gri
1237663784205156374,gri
1237663784205287592,gri
1237663784205353657,ri
1237663784206664932,ri
1237663784206794847,gri
1237663784209416551,ri
1237663784209679290,ri
1237663784210006186,gr
1237663784210530470,ri
1237663784210661606,ri
1237663784216035408,ug
1237663784216035645,ri
1237663784217084379,ri
1237663784739996013,gr
1237663784742092936,ug
1237663784742486517,ri
1237663784742945041,ug
1237663784743535353,ri
1237663784743993436,ri
1237663784744583318,gri
1237663784745304165,ri
1237663784745959595,gi
1237663784750612586,ri
1237663784750875112,ri
1237663784751465109,ri
1237663784751530100,gri
1237663785280274518,ri
1237663785280536852,ri
1237663785281847570,gri
1237663785283223684,gr
1237663785283616926,ri
1237663785283879177,ri
1237666299479524389,ri
1237666299479916653,ri
1237666299485225121,ugr
1237666300016394797,ri
1237666300018294954,ri
1237666301091447631,gr
1237666301093413378,ri
1237666301093675532,ri
1237666301627662344,ri
1237666301630939332,gri
1237666302167613636,gr
1237666338115158383,ri
1237666338116206718,ri
1237666338650980473,gr
1237666338651504831,ri
1237666338653274273,ri
1237666339724722337,gr
1237666340796760272,gri
1237666340796891306,gri
1237666340797874218,ui
1237666340798070800,gr
1237666340798726320,gri
1237666407380877436,ri
1237666407919714578,ri
1237666407920238747,ri
1237666407920238749,uri
1237666407920828643,gri
1237666408456061021,gri
1237666408457372407,ri
1237666408458617069,ri
1237666408460714394,ri
1237678433791246473,gri
1237678433791377703,ur
1237678437014503577,gri
1237678437015618520,ri
1237678437016928912,ri
1237678437017911528,ri
1237678437017977032,gr
1237678437018108191,gr
1237678617427902714,ri
1237678617430196487,gi
1237678617434325129,gri
1237678617972113583,ri
1237678617973751949,ri
1237666300022620780,ri
1237666300559556799,ugri
1237666301630677050,ri
1237666302165451144,gri
1237678617974472851,gri
