objid,bands,pid1,pid2
1237645943979180299,i,1237645943979180298,1237645943979180299
1237656971301028036,u,1237656971301028035,1237656971301028037
1237656971301945767,u,1237656971301945607,1237656971301945607
1237657069548863851,g,1237657069548863851,1237657069548863851
1237657069549257199,i,1237657069549257189,1237657069549257189
1237657069549912474,i,1237657069549912474,1237657069549912474
1237657070088356088,g,1237657070088356088,1237657070088356088
1237657070088552812,i,1237657070088552812,1237657070088552813
1237657070090453050,u,1237657070090453049,1237657070090453049
1237657070090912006,i,1237663783141180456,1237663783141180456
1237657071157641854,u,1237657071157641854,1237657071157641854
1237657071158755470,i,1237657071158755470,1237657071158755472
1237657071159279735,i,1237657071159279746,1237657071159279735
1237657071162426245,u,1237657071162426245,1237657071162426245
1237657071693791313,i,1237657071693791311,1237657071693791312
1237657071696806065,i,1237657071696806064,1237657071696806065
1237657071697264915,r,1237657071697264915,1237657071697264915
1237657189836521792,u,1237657189836521792,1237657189836521791
1237657190905545093,i,1237657190905545339,1237657190905545339
1237657190908953258,gi,1237657190908953259,1237657190908953258
1237657190909411652,r,1237657190909411652,1237657190909411652
1237657584950182247,u,1237657584950182247,1237657584950182247
1237657584950182449,i,1237657584950182448,1237657584950182448
1237657584950182455,i,1237657584950182852,1237657584950182852
1237663204921508105,g,1237663204921508106,1237663204921508108
1237663204922884300,g,1237663204922884300,1237663204922884300
1237663238741950610,r,1237663238741950610,1237663238741950610
1237663275781390641,r,1237663275781390641,1237663275781390641
1237663277928415463,i,1237663277928416178,1237663277928416178
1237663278464958785,i,1237663278464958782,1237663278464958782
1237663278465614311,r,1237663278465614311,1237663278465614311
1237663278465024332,ri,1237663278465024332,1237663278465024332
1237663278465876454,u,1237663278465876153,1237663278465876153
1237663278464763178,u,1237663278464761959,1237663278464763178
1237663277929988198,gr,1237663277929988198,1237663277929988198
1237663277929792494,i,1237663277929792494,1237663277929792494
1237663543696359967,i,1237663543696359967,1237663543696359968
1237663277928219240,r,1237663277928218684,1237663277928218684
1237663277392461953,gr,1237663277392461953,1237663277392461955
1237663277392330903,r,1237663277392330903,1237663277392330903
1237663275781587151,gr,1237663275781587150,1237663275781587151
1237663275781456345,i,1237663275781456345,1237663275781456144
1237663275781390832,r,1237663275781390832,1237663275781390832
1237663275780932490,r,1237663275780932490,1237663275780932490
1237663275780866661,i,1237663275780866974,1237663275780866974
1237663275780473600,i,1237678882094514771,1237678882094514771
1237663239279149756,i,1237663239279149264,1237663239279149264
1237663239278428744,r,1237663239278428744,1237663239278428744
1237663239278363253,r,1237663239278363253,1237663239278363253
1237663239278363203,i,1237663239278363203,1237663239278363203
1237663239278167236,r,1237663239278166068,1237663239278166068
1237663239278101231,i,1237663239278101231,1237663239278101231
1237663239277708106,i,1237663239277708106,1237663239277708106
1237663239272923583,r,1237663239272923583,1237663239272923583
1237663239272333495,i,1237663239272333495,1237663239272333495
1237663238741295662,u,1237663238741295234,1237663238741295234
1237663238741164168,i,1237663238741164168,1237663238741164168
1237663238741099477,i,1237663238741098998,1237663238741098998
1237663238740902376,i,1237663238740837139,1237663238740902376
1237663238740246703,g,1237663238740246703,1237663238740246703
1237663238740050376,i,1237663238740050382,1237663238740050382
1237663238739985466,i,1237663238739985470,1237663238739985470
1237663238739919047,r,1237663238739919047,1237663238739919049
1237663238739656886,r,1237663238739656889,1237663238739656889
1237663238739002294,i,1237663238739002294,1237663238739002294
1237663238205341968,g,1237663238205341968,1237663238205341968
1237663238205014418,i,1237663238205014417,1237663238205014417
1237663238203834820,i,1237663238203834820,1237663238203834820
1237663782593037096,i,1237663782593037096,1237663782593037099
1237663237668798632,g,1237663237668798633,1237663237668798632
1237663237667815585,i,1237663237667815585,1237663237667816443
1237663237667619838,i,1237663237667619838,1237663237667618915
1237663237667488282,r,1237663237667488282,1237663237667488283
1237663237667488096,i,1237663237667488094,1237663237667488094
1237663782595527065,i,1237663782595527065,1237663782595527064
1237663782595658008,i,1237663782595658009,1237663782595658008
1237663237667029518,i,1237663237667029518,1237663237667029519
1237663237130617725,u,1237663237130617025,1237663237130617025
1237663782596182357,g,1237663782596182357,1237663782596182357
1237663237129896092,u,1237663237129896091,1237663237129896092
1237663237129765388,i,1237663237129765587,1237663237129765587
1237663237129765383,i,1237663237129765385,1237663237129765385
1237663237129765195,i,1237663237129765195,1237663237129765196
1237663237128651869,i,1237663237128651866,1237663237128651866
1237663204923408524,g,1237663204923408524,1237663204923408524
1237663204923277704,r,1237663204923277704,1237663204923277704
1237663204923277501,r,1237663204923277499,1237663204923277420
