objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237671932817703083,159.412839434273,10.0906019029981,NO_PEAK,"[]",SINGLE,"[(48, 38)]",DOUBLE,"[(49, 38)(50, 49)]",NO_PEAK,"[]"
1237671932280832097,159.31482023239,9.82625361816324,NO_PEAK,"[]",DOUBLE,"[(59, 58)(51, 50)]",NO_PEAK,"[]",DOUBLE,"[(53, 52)(58, 58)]"
1237658493344350374,159.768399776699,9.63546591521642,NO_PEAK,"[]",SINGLE,"[(39, 41)]",DOUBLE,"[(39, 42)(50, 51)]",NO_PEAK,"[]"
1237658493344219242,159.439453428949,9.59025832658526,NO_PEAK,"[]",DOUBLE,"[(50, 50)(53, 42)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237658492807348379,159.491759609728,9.21156203513205,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(73, 52)]"
1237658493344284678,159.506850920851,9.57143202138584,DOUBLE,"[(50, 50)(57, 47)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 49)]"
1237658493344350316,159.708109511685,9.56827185022017,NO_PEAK,"[]",DOUBLE,"[(51, 49)(61, 46)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 51)]"
1237671931744223419,160.051977449621,9.48602962809167,NO_PEAK,"[]",SINGLE,"[(44, 40)]",NO_PEAK,"[]",DOUBLE,"[(50, 49)(45, 40)]"
1237658492807610662,160.036482705074,9.2746835465218,NO_PEAK,"[]",DOUBLE,"[(54, 48)(49, 49)]",SINGLE,"[(37, 11)]",NO_PEAK,"[]"
1237671931744223396,160.032349629631,9.4634226275498,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(57, 56)]",DOUBLE,"[(50, 50)(57, 56)]"
1237671932817965242,159.939787523535,10.1444084763034,NO_PEAK,"[]",DOUBLE,"[(50, 50)(55, 53)]",DOUBLE,"[(50, 50)(56, 53)]",DOUBLE,"[(50, 50)(55, 53)]"
