objid,bands,pid1,pid2
1237667538005983407,g,1237667538005983407,1237667538005983407
1237667538006114455,gri,1237667538006114455,1237667538006114461
1237667542289416259,ri,1237667542289416258,1237667542289416260
1237667538006114545,gr,1237667538006114545,1237667538006114545
1237664339321749694,u,1237664339321749694,1237664339321749694
1237662224059859064,g,1237662224059859064,1237662224059859064
1237664667901165729,g,1237664667901165729,1237664667901165730
1237664820354285820,g,1237664820354285820,1237664820354285826
1237664667901231356,u,1237664667901231356,1237664667901231356
1237662224596926532,gri,1237662224596926532,1237662224596926532
1237662224059990080,i,1237662224059990080,1237662224059990080
1237664667364491351,r,1237664667364491351,1237664667364491351
1237664667364491322,gr,1237664667364491322,1237664667364491322
1237664818744721591,i,1237664818744721591,1237664818744721591
1237664819281592400,ri,1237664819281592400,1237664819281592400
1237664338786254960,i,1237664338786254960,1237664338786254961
1237664338248990808,g,1237664338248990808,1237664338248990808
1237664338785992843,gri,1237664338785992843,1237664338785992844
1237664818744328196,gri,1237664818744328196,1237664818744328196
1237664818744197260,gri,1237664818744197260,1237664818744197260
1237664338785796111,u,1237664338785796111,1237664338785796111
1237667430099517604,i,1237667430099517604,1237667430099517608
1237667292121727199,gri,1237667292121727199,1237667292121727199
1237667291584790901,u,1237667291584790901,1237667291584790901
1237667292121727047,u,1237667292121727047,1237667292121727051
1237667429562384486,g,1237667429562384486,1237667429562384486
1237667293195338026,gr,1237667293195338026,1237667293195338027
1237667430635798657,ri,1237667430635798656,1237667430635798657
1237667252929757306,i,1237667252929757306,1237667252929757306
1237667252929626259,i,1237667252929626259,1237667252929626260
1237667293732208717,g,1237667293732208717,1237667293732208718
1237667252929822798,ri,1237667252929822798,1237667252929822801
1237667210517348405,u,1237667210517348405,1237667210517348405
1237667431173062783,gri,1237667431173062783,1237667431173062784
1237667430636126353,i,1237667430636126352,1237667430636126353
1237667324318318707,i,1237667324318318707,1237667324318318707
1237667430636191948,gi,1237667430636191948,1237667430636191948
1237667209980543125,u,1237667209980543130,1237667209980543125
1237667431173456007,gri,1237667431173456005,1237667431173456007
1237667431173324815,ri,1237667431173324815,1237667431173324815
1237667431173193809,i,1237667431173193809,1237667431173193809
1237667209980608740,r,1237667209980608740,1237667209980608743
1237667210517479544,i,1237667210517479544,1237667210517479544
1237667431173324892,u,1237667431173324892,1237667431173324892
1237667431173259391,gri,1237667431173259391,1237667431173259391
1237667293732667539,g,1237667293732667537,1237667293732667537
1237665428642464009,ri,1237665428642464009,1237665428642464009
1237665442068365442,ri,1237665442068365442,1237665442068365442
1237665442068365372,r,1237665442068365370,1237665442068365372
1237665428642398311,r,1237665428642398311,1237665428642398312
1237665442068496390,r,1237665442068496389,1237665442068496390
1237665371720253605,r,1237665371720253605,1237665371720253605
1237665371720188254,gri,1237665371720188254,1237665371720188254
1237665441531232425,i,1237665441531232425,1237665441531232425
1237665442605170817,r,1237665442605170817,1237665442605170820
1237665442068234536,gri,1237665442068234536,1237665442068234536
1237665428641939623,i,1237665428641939623,1237665428641939623
1237665442067906832,gri,1237665442067906832,1237665442067906832
1237665429178745048,i,1237665429178745051,1237665429178745048
1237665429178810534,gi,1237665429178810534,1237665429178810534
1237665532785721565,ug,1237665532785721565,1237665532785721565
1237665550500233359,g,1237665550500233359,1237665550500233359
1237665532785852631,ri,1237665532785852631,1237665532785852631
1237665533322854574,i,1237665533322854574,1237665533322854615
1237665532786114790,g,1237665532786114790,1237665532786114792
1237665101137969240,i,1237665101137969240,1237665101137969244
1237665126944866379,g,1237665126944866379,1237665126944866379
