objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237645943973675617,SINGLE,"[(13, 34)]",NO_PEAK,"[]",SINGLE,"[(13, 35)]",SINGLE,"[(12, 35)]",NO_PEAK,"[]"
1237656512816021645,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(31, 50)]",DOUBLE,"[(31, 49)(44, 45)]"
1237657069549781471,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(67, 60)(35, 20)]"
1237657070089601428,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657070092354048,SINGLE,"[(23, 18)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(90, 21)(7, 4)]"
1237657071156790248,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(21, 90)(13, 94)]"
1237657071157642262,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(11, 60)(20, 72)]"
1237657071158952810,SINGLE,"[(24, 22)]",NO_PEAK,"[]",SINGLE,"[(23, 22)]",SINGLE,"[(23, 23)]",DOUBLE,"[(23, 22)(82, 99)]"
1237657071158952973,SINGLE,"[(18, 27)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(16, 23)(40, 14)]"
1237657071694512147,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657071694971272,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657071695954127,SINGLE,"[(42, 33)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(40, 35)]",NO_PEAK,"[]"
