objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237678437016470208,SINGLE,"[(1, 22)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437016470211,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437016470231,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(80, 36)(35, 49)]"
1237678437016470353,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(48, 50)(33, 79)]"
1237678437016470504,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(11, 10)(11, 80)]"
1237678437016470578,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437016535242,NO_PEAK,"[]",SINGLE,"[(37, 51)]",SINGLE,"[(37, 51)]",SINGLE,"[(38, 51)]",NO_PEAK,"[]"
1237678437016535362,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237678437016535367,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(27, 32)]",NO_PEAK,"[]"
1237678437016535394,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(85, 83)]",NO_PEAK,"[]"
1237678437016535406,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(28, 40)]",DOUBLE,"[(9, 68)(21, 80)]"
1237678437015094433,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437015158966,NO_PEAK,"[]",SINGLE,"[(49, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237678437016535465,SINGLE,"[(77, 59)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(94, 90)(93, 53)]"
1237678437016535972,SINGLE,"[(12, 18)]",NO_PEAK,"[]",SINGLE,"[(24, 18)]",SINGLE,"[(23, 18)]",NO_PEAK,"[]"
1237678437016535979,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437016536011,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(51, 50)]",NO_PEAK,"[]"
1237678437016536018,SINGLE,"[(16, 29)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(17, 20)]",DOUBLE,"[(91, 21)(18, 21)]"
1237678437016536028,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437016536126,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437016536147,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(93, 76)(21, 72)]"
1237678437016536148,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(1, 16)]",DOUBLE,"[(1, 16)(57, 1)]"
1237678437016536256,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437016600618,NO_PEAK,"[]",DOUBLE,"[(33, 31)(34, 39)]",DOUBLE,"[(33, 31)(33, 40)]",DOUBLE,"[(34, 41)(34, 31)]",DOUBLE,"[(33, 39)(33, 32)]"
1237678437016600623,NO_PEAK,"[]",DOUBLE,"[(29, 70)(30, 78)]",DOUBLE,"[(29, 70)(29, 79)]",DOUBLE,"[(30, 80)(27, 69)]",NO_PEAK,"[]"
1237678437016600716,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437016600862,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237678437015224469,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237678437015224820,SINGLE,"[(90, 31)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437015224853,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(3, 54)]"
1237678437016600990,NO_PEAK,"[]",SINGLE,"[(39, 20)]",SINGLE,"[(39, 20)]",SINGLE,"[(40, 21)]",DOUBLE,"[(33, 45)(30, 38)]"
1237678437016601060,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(46, 59)(64, 88)]"
1237678437015224925,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437015224933,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437015225136,SINGLE,"[(22, 41)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437015225138,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437016601253,SINGLE,"[(98, 13)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(23, 25)]",NO_PEAK,"[]"
1237678437015290123,SINGLE,"[(39, 30)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(39, 32)]",NO_PEAK,"[]"
1237678437015290175,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237678437015290216,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(34, 57)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237678437015290320,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
