objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237656971300766138,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(12, 24)]",NO_PEAK,"[]"
1237656971301683881,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(51, 61)(62, 23)]"
1237657071157052569,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(74, 33)(66, 45)]"
1237657071696347213,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237657191444185475,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(13, 99)(47, 51)]"
1237657191444578789,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(49, 50)(72, 39)]"
1237657191444644038,DOUBLE,"[(7, 43)(9, 15)]",SINGLE,"[(49, 50)]",DOUBLE,"[(50, 49)(46, 55)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(7, 7)]"
1237657192516157491,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(84, 56)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237657192516616869,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(38, 3)]",NO_PEAK,"[]"
1237657584951690274,SINGLE,"[(16, 96)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(15, 96)(51, 50)]"
1237657586561974768,NO_PEAK,"[]",SINGLE,"[(50, 49)]",SINGLE,"[(50, 49)]",SINGLE,"[(50, 49)]",DOUBLE,"[(84, 89)(50, 47)]"
1237660024523980975,NO_PEAK,"[]",SINGLE,"[(29, 27)]",SINGLE,"[(29, 27)]",SINGLE,"[(28, 26)]",NO_PEAK,"[]"
1237660240313385796,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(74, 41)(69, 60)]"
1237660241385685478,SINGLE,"[(28, 20)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(19, 38)]",DOUBLE,"[(20, 38)(41, 19)]"
1237663204919083055,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663204923212012,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(92, 49)]",SINGLE,"[(50, 50)]",DOUBLE,"[(91, 49)(53, 52)]"
1237663237129569293,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(18, 49)(31, 42)]"
1237663239272530233,SINGLE,"[(64, 18)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663275780342532,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(1, 47)(49, 47)]"
1237663277929070847,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(51, 28)]",DOUBLE,"[(51, 28)(15, 97)]"
1237663716555097066,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(8, 27)]",DOUBLE,"[(9, 26)(50, 52)]"
