objid,pid1,pid2
1237645943978918279,1237645943978918278,1237645943978918279
1237645943979245908,1237645943979245909,1237645943979245909
1237657069549846700,1237657069549846699,1237657069549846699
1237657584949526633,1237657584949526631,1237657584949526632
1237657584950247782,1237657584950182683,1237657584950182683
1237663239278363253,1237663239278363253,1237663239278363253
1237657584950182455,1237657584950182852,1237657584950182852
1237657584950182449,1237657584950182448,1237657584950182448
1237657584950182247,1237657584950182247,1237657584950182247
1237657584950771906,1237657584950771905,1237657584950771906
1237660241924129550,1237660241924129550,1237660241924129550
1237663783126761695,1237663783126761695,1237663783126761695
1237663783133315366,1237663783133315293,1237663783133315290
1237657587101401944,1237657587101401944,1237657587101401944
1237657587097206946,1237657587097206941,1237657587097206941
1237657587096027299,1237657587096027297,1237657587096027297
1237657586562564666,1237657586562564667,1237657586562564667
1237663783673398176,1237663783673398176,1237663783673398176
1237666406848332099,1237666406848332099,1237666406848332099
1237663783133905595,1237663783133905595,1237663783133905595
1237663783133775035,1237663783133774546,1237663783133774546
1237663783131808843,1237663783131808660,1237663783131808660
1237663783130694333,1237663783130694333,1237663783130694333
1237657069547357101,1237657069547357100,1237657069547357101
1237657069547356748,1237657069547356460,1237657069547356460
1237657069547291699,1237657069547291699,1237657069547291699
1237657069547029468,1237657069547028815,1237657069547028815
1237663783130694009,1237663783130694009,1237663783130694009
1237663783130169814,1237663783130169814,1237663783130169814
1237663783129776989,1237663783129776986,1237663783129776989
1237663783129580250,1237663783129580249,1237663783129580250
1237663783126958540,1237663783126958540,1237663783126958540
1237663783126303717,1237663783126302808,1237663783126302808
1237663783125778841,1237663783125778836,1237663783125778836
1237663783124730448,1237663783124730448,1237663783124730448
1237663783124467886,1237663783124467886,1237663783124467886
1237666300019933843,1237666300019933843,1237666300019933843
1237663783124403496,1237663783124403043,1237663783124403043
1237663783124403253,1237663783124403253,1237663783124403253
1237663784741896505,1237663784741896505,1237663784741896505
1237663782600704620,1237663782600704619,1237663782600704620
1237663785283486293,1237663785283485857,1237663785283485856
1237663785277915451,1237663785277915451,1237663785277915451
1237663782590022276,1237663782590021999,1237663782590021999
1237657070087963356,1237657070087963353,1237657070087963655
1237657070089864415,1237657070089863447,1237657070089863922
1237663204918952833,1237663204918952833,1237663204918952489
1237663239278428744,1237663239278428744,1237663239278428744
