objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237663784206729668,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(82, 26)(70, 58)]"
1237657190914589554,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(44, 83)(23, 16)]"
1237666407378059777,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(2, 36)]",NO_PEAK,"[]",DOUBLE,"[(2, 36)(17, 85)]"
1237663204923539892,SINGLE,"[(83, 66)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(93, 58)(7, 25)]"
1237663782596117075,SINGLE,"[(69, 69)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(63, 68)]"
1237666407378059499,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(79, 11)(52, 70)]"
1237666407378059794,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(49, 50)]",NO_PEAK,"[]",DOUBLE,"[(6, 10)(30, 45)]"
1237663783132988271,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 49)(12, 28)]"
1237663784206729650,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(38, 83)(17, 60)]"
1237663783132987943,SINGLE,"[(3, 96)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(1, 67)(4, 79)]"
1237663784206729621,SINGLE,"[(11, 15)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(18, 41)]",DOUBLE,"[(18, 41)(26, 25)]"
1237657190914655060,SINGLE,"[(87, 66)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(49, 50)(23, 99)]"
1237663783133119015,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(21, 40)(30, 98)]"
1237657189840912732,NO_PEAK,"[]",SINGLE,"[(49, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]",DOUBLE,"[(50, 50)(44, 81)]"
1237663782596248631,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(99, 98)(54, 50)]"
1237663782596248146,SINGLE,"[(58, 38)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(60, 74)(50, 48)]"
1237666407378059708,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(41, 6)]",NO_PEAK,"[]",DOUBLE,"[(42, 6)(87, 81)]"
1237663782596247909,SINGLE,"[(48, 13)]",SINGLE,"[(50, 49)]",NO_PEAK,"[]",SINGLE,"[(16, 25)]",DOUBLE,"[(50, 50)(40, 24)]"
1237678617427379213,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(39, 67)(92, 12)]"
1237678617427379218,SINGLE,"[(25, 30)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(70, 48)(51, 49)]"
1237663784743797683,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(82, 16)(12, 60)]"
1237657071156724789,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(26, 64)(28, 70)]"
1237663783133249858,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(94, 59)(35, 38)]"
1237663783133250363,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(1, 9)(80, 71)]"
1237663782596444833,SINGLE,"[(95, 71)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(46, 31)(22, 58)]"
