index,objid,ra,dec
41,1237663783123681693,0.0290635402553541,-0.630613920692715
87,1237663783660552960,0.0300363322756496,-0.236870343390179
181,1237663783123681955,0.125922074548798,-0.728482840375151
185,1237663783660552229,5.11927209956298E-07,-0.299601933906472
199,1237663784197423455,0.000270739354990113,0.0561879573067777
207,1237666408442430274,0.000449958838999009,0.39059285691966
208,1237663275780276757,0.0005833005515683,-1.12231084540032
224,1237656906355049272,0.00099652141614115,-1.00210825780627
226,1237663783660552559,0.00101036828621837,-0.307806472450498
230,1237663783123682030,0.00116999852872901,-0.744601453428055
251,1237663784197423907,0.00164883779942926,0.128165171710947
263,1237666408442429901,0.00175308667741092,0.393177884480657
301,1237657190368412386,0.0958420527588828,-0.586302982573697
302,1237663783123681897,0.095877333637576,-0.681372391912627
507,1237663275780342290,0.117229230093272,-1.19454802657365
601,1237663784197423924,0.0105115351470175,0.0285025358964102
609,1237663275780276786,0.0107599045380482,-1.09713225977837
631,1237663275780276787,0.0111296050230862,-1.09599039239064
871,1237663784197423784,0.11582979093534,0.0882849531511026
981,1237657190905217783,0.0578642968874874,-0.207786234981114
1140,1237663784197423584,0.0524055445739595,0.106726632637067
1168,1237663784197424113,0.0530252688452233,0.166296420978948
1186,1237663784197423583,0.053470689572519,0.10824111340162
1200,1237657190905217557,0.0538478767448396,-0.200589043728495
1204,1237657190905217556,0.0539174263526547,-0.202285740710394
1243,1237663278464696794,0.142049307784873,1.01166122190154
1290,1237663783123681999,0.143269987184711,-0.780030084382762
1390,1237656906355114464,0.12941813185887,-0.840479816316283
1394,1237663783123682381,0.129484870552497,-0.737587400470815
1467,1237657190905282969,0.131240375963444,-0.150196766291676
1515,1237663784197423505,0.0194433842977464,0.0173904322870051
1691,1237663784197424208,0.0669240639299673,0.173139086478443
1747,1237666408442430090,0.0683290864258197,0.353746077989286
1768,1237666408442430501,0.0687117376655237,0.356806562441193
1776,1237666408442495482,0.138956457572419,0.253022247778689
1809,1237666408442496099,0.139405775308319,0.23226101711159
1914,1237663784197423933,0.0223918823323626,0.015985472847146
1984,1237657191979024944,0.132187383310225,0.786790029120729
2057,1237663784197424071,0.00528751249573567,0.150808395252272
2061,1237663784197423477,0.00534194963356249,0.141324677915572
2068,1237663278464631346,0.00549472230227366,0.959959580018546
2091,1237663784197423915,0.00609727973695939,0.0198182096081784
2119,1237663784197423478,0.00673342357572082,0.141008011270038
2132,1237663275780276771,0.00697101179142123,-1.09842387767261
2163,1237663278464697393,0.100897443660926,1.00398319968831
2193,1237657190905282892,0.101752082865971,-0.0708593408790453
2200,1237663278464696683,0.101851244596332,0.991250174555689
2227,1237657190368346746,0.069010305979532,-0.603058778686014
2276,1237663784197424128,0.0700584134948574,0.0863168196310458
2326,1237666408442430099,0.0709825547596097,0.359303572336158
2342,1237657191979025050,0.165321291853786,0.670845386463512
2377,1237657190905283052,0.166071618704109,-0.0955940354292258
2385,1237657191979025431,0.166261598409051,0.664850251290653
2482,1237666408442430125,0.0802377980782012,0.30435084867578
2485,1237666408442430127,0.0802832931517514,0.364045892571255
2494,1237666408442429623,0.0805995322661488,0.354523475157517
2588,1237657190368412124,0.157327070403824,-0.473521469330407
2601,1237663784197423971,0.0619833774186436,0.176588157029371
2610,1237663784197423621,0.0622173891609528,0.182403556309108
2633,1237663784197424119,0.0626401503146408,0.184799294861698
2695,1237657190368412129,0.158108069933746,-0.615261863815506
2765,1237663784197489491,0.159757250260299,0.132077433848349
2767,1237663278464697185,0.159777212043053,1.01115764737409
2783,1237663784197423710,0.0933897775640222,0.0674043130639916
2799,1237656906355114376,0.0938373413479212,-0.884956154967451
2841,1237663784197423717,0.0947925913620029,0.0657925904291016
2951,1237663278464697216,0.190658754153361,0.998757986998352
2976,1237666408442430359,0.0643734432287033,0.306963678943494
2998,1237657191978959809,0.0648156032389693,0.683864105408539
3000,1237657191978959803,0.0649180701460068,0.688139032272244
