objid,pid1,photoZ1,photoZ_err1,schlegelZ1,schlegelZ_err1,absMagR1,u1,g1,r1,i1,z1,pid2,photoZ2,photoZ_err2,schlegelZ2,schlegelZ_err2,absMagR2,u2,g2,r2,i2,z2
1237645942905241663,1237645942905241664,0.135218,0.088363,null,null,-17.4085,25.79516,25.40237,22.61902,25.89496,20.3513,1237645942905241663,-9999,-9999,null,null,-19.6763,25.79516,25.40237,22.61902,25.89496,20.3513
1237645942905569717,1237645942905569710,0.143728,0.090616,null,null,-17.2492,25.05221,22.57582,21.42724,20.93601,21.14512,1237645942905569710,0.143728,0.090616,null,null,-17.2492,25.05221,22.57582,21.42724,20.93601,21.14512
1237645942906290620,1237645942906290620,0.333934,0.095706,null,null,-21.364,25.58138,22.77687,20.99979,20.22134,19.9332,1237645942906290620,0.333934,0.095706,null,null,-21.364,25.58138,22.77687,20.99979,20.22134,19.9332
1237645942906290621,1237645942906290620,0.333934,0.095706,null,null,-21.364,22.86499,22.20054,21.25948,21.04193,20.70257,1237645942906290620,0.333934,0.095706,null,null,-21.364,22.86499,22.20054,21.25948,21.04193,20.70257
1237645942906356505,1237645942906356505,0.715283,0.067402,null,null,-20.7867,24.78757,25.43038,24.26427,22.13175,21.52295,1237645942906356505,0.715283,0.067402,null,null,-20.7867,24.78757,25.43038,24.26427,22.13175,21.52295
1237645942906684197,1237645942906684193,0.468244,0.066087,null,null,-20.6169,24.05849,25.81223,24.42699,22.18304,21.55927,1237645942906684193,0.468244,0.066087,null,null,-20.6169,24.05849,25.81223,24.42699,22.18304,21.55927
1237645943973675591,1237645943973675591,0.531845,0.142979,null,null,-20.6667,23.00852,22.48186,21.77202,21.3202,21.64049,1237645943973675591,0.531845,0.142979,null,null,-20.6667,23.00852,22.48186,21.77202,21.3202,21.64049
1237645943978852840,1237645943978852840,0.37847,0.064845,null,null,-21.6927,22.93879,21.75435,20.40672,20.08462,19.87044,1237645943978852840,0.37847,0.064845,null,null,-21.6927,22.93879,21.75435,20.40672,20.08462,19.87044
1237645943978852842,1237645943978852842,0.492156,0.095441,null,null,-21.1506,24.26443,23.1312,21.76629,20.97484,20.74461,1237645943978852842,0.492156,0.095441,null,null,-21.1506,24.26443,23.1312,21.76629,20.97484,20.74461
1237645943979180371,1237645943979180371,0.351652,0.180581,null,null,-20.2932,22.41591,21.65037,21.21415,20.9603,20.70167,1237645943979180371,0.351652,0.180581,null,null,-20.2932,22.41591,21.65037,21.21415,20.9603,20.70167
