objid,bands,pid1,pid2
1237663784739996014,gr,1237663784739996014,1237663784739996015
1237663784751464748,gr,1237663784751464748,1237663784751464748
1237666301628777033,ri,1237666301628777033,1237666301628777033
1237663783128727938,ri,1237663783128727938,1237663783128727938
1237666407917682856,ri,1237666407917682856,1237666407917682856
1237678617432752295,gri,1237678617432752295,1237678617432752297
1237663784751465119,gri,1237663784751465433,1237663784751465433
1237660239777563292,i,1237660239777562883,1237660239777562882
1237678617972113582,ri,1237678617972113582,1237678617972113583
1237657190371950837,gri,1237657190371950837,1237657190371950837
1237663783140720802,gr,1237663783140720802,1237663783140720802
1237678617432752297,gri,1237678617432752295,1237678617432752297
1237666407382253720,gri,1237666407382253719,1237666407382253720
1237663784745959595,gi,1237663784745959597,1237663784745959595
1237663783665140655,ri,1237663783665140828,1237663783665140828
1237663784747139553,ur,1237663784747140015,1237663784747140015
1237663204923081061,ri,1237663204923081061,1237663204923081061
1237666407921811593,ri,1237666407921811593,1237666407921811593
1237663784739996013,gr,1237663784739996013,1237663784739996013
1237678617972113583,ri,1237678617972113582,1237678617972113583
1237666407382253719,gri,1237666407382253719,1237666407382253720
1237666407917682854,ri,1237666407917682854,1237666407917682854
1237663783140720804,gr,1237663783140720804,1237663783140720804
1237663783128727937,ri,1237663783128727937,1237663783128727937
1237663782589956273,ri,1237663782589956273,1237663782589956273
1237666407921811592,ri,1237666407921811591,1237666407921811592
1237663782589956274,ri,1237663782589956274,1237663782589956274
1237666340797809016,r,1237666340797809016,1237666340797809016
1237666340797809015,r,1237666340797809015,1237666340797809015
1237663785277391531,r,1237663785277391802,1237663785277391802
1237663783130366364,g,1237663783130366364,1237663783130366364
1237663783130366365,g,1237663783130366365,1237663783130366365
1237663784204173780,i,1237663784204173780,1237663784204173780
1237663782595723718,i,1237663782595723718,1237663782595723718
1237663204923015387,r,1237663204923015387,1237663204923015386
1237663204923015385,r,1237663204923015385,1237663204923015386
1237663783132660702,i,1237663783132660702,1237663783132660702
1237657069547422487,r,1237657069547422477,1237657069547422477
1237657069547487669,r,1237657069547487670,1237657069547487669
1237657069547487670,r,1237657069547487670,1237657069547487669
1237657071695429980,g,1237657071695429980,1237657071695429980
1237666407918469895,i,1237666407918469895,1237666407918469895
1237666407918469894,i,1237666407918469894,1237666407918469894
1237663783136264880,i,1237663783136264880,1237663783136264880
1237663783136264879,i,1237663783136264879,1237663783136264879
1237663784751464747,gr,1237663784751464747,1237663784751464747
1237660024522605174,r,1237660024522605174,1237660024522605174
1237660024522605175,r,1237660024522605176,1237660024522605175
1237666299479917127,i,1237666299479917127,1237666299479917127
1237657191980073282,r,1237657191980073280,1237657191980073281
1237657191980073280,r,1237657191980073280,1237657191980073282
1237657189835407991,i,1237657189835407991,1237657189835407992
1237657189835407992,i,1237657189835407991,1237657189835407992
1237663784743535070,i,1237663784743535070,1237663784743535070
1237663784743535071,i,1237663784743535071,1237663784743535071
1237657071694316204,r,1237657071694316204,1237657071694316204
1237663782597231372,r,1237663782597231372,1237663782597231372
1237663783671956113,r,1237663783671956111,1237663783671956111
1237663782599459467,i,1237663782599459467,1237663782599459467
1237663782599459466,i,1237663782599459466,1237663782599459466
1237663782599852866,i,1237663782599852866,1237663782599852866
1237663782599852867,i,1237663782599852867,1237663782599852867
1237663782599787307,u,1237663782599787306,1237663782599787306
1237678433254769309,i,1237678433254769309,1237678433254769309
1237663784213610802,i,1237663784213610802,1237663784213610802
1237663784213610801,i,1237663784213610802,1237663784213610802
1237678433254769308,i,1237678433254769308,1237678433254769308
1237678617433407789,i,1237678617433407789,1237678617433407789
1237678617433407790,i,1237678617433407790,1237678617433407790
1237663784751465120,i,1237663784751465433,1237663784751465433
1237663239272202585,gr,1237663239272202586,1237663239272202585
1237663239272202584,gr,1237663239272202584,1237663239272202584
1237663783678444392,r,1237663783678444393,1237663783678444393
1237663783142818245,r,1237663783142818245,1237663783142818245
1237663783678116223,i,1237663783678116224,1237663783678116224
1237660241923015074,i,1237660241923015074,1237660241923015074
1237660241923015075,i,1237660241923015075,1237660241923015075
1237660239777563291,ri,1237660239777562882,1237660239777562882
1237663238204359216,i,1237663238204359216,1237663238204359216
1237663783123878007,i,1237663783123878330,1237663783123878330
1237663783123878006,i,1237663783123878005,1237663783123878005
1237663783124337599,i,1237663783124337921,1237663783124337921
